epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mmd_distance,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mmd_distance,val/box_loss,val/cls_loss,val/dfl_loss,val/mmd_distance,lr/pg0,lr/pg1,lr/pg2
49,1035.61,1.83732,1.05492,0.92246,15723.7,0.72696,0.56222,0.62294,0.34667,5001.72,1.81075,1.15465,0.96953,0,0.000874842,0.000874842,0.000874842
50,1056.57,1.82917,1.05119,0.92312,15784,0.72751,0.55964,0.61988,0.34422,4817.7,1.82774,1.14806,0.97489,0,0.000858338,0.000858338,0.000858338
51,1077.42,1.84709,1.05862,0.92358,15475.7,0.73001,0.562,0.62421,0.34789,5283.55,1.81023,1.14569,0.96791,0,0.000841835,0.000841835,0.000841835
52,1098.51,1.81943,1.04209,0.92189,15249.6,0.72468,0.57238,0.62616,0.3509,5799.2,1.80443,1.14847,0.96621,0,0.000825332,0.000825332,0.000825332
53,1119.87,1.84774,1.04061,0.91494,14325.5,0.72138,0.56413,0.6214,0.34396,6076.75,1.82899,1.17997,0.97406,0,0.000808828,0.000808828,0.000808828
54,1140.82,1.83898,1.04334,0.91937,14692.8,0.72513,0.56296,0.62263,0.34771,5960.07,1.81517,1.14106,0.96598,0,0.000792325,0.000792325,0.000792325
55,1161.71,1.81435,1.03449,0.91795,14730.7,0.72651,0.56748,0.62355,0.3479,6121.63,1.81377,1.13885,0.96779,0,0.000775822,0.000775822,0.000775822
56,1182.83,1.82668,1.03863,0.92209,14720,0.72842,0.56318,0.62372,0.35006,6441.64,1.80592,1.14848,0.96655,0,0.000759318,0.000759318,0.000759318
57,1203.97,1.82134,1.02386,0.91438,14729.9,0.72959,0.56708,0.6254,0.34851,6510.87,1.81038,1.14117,0.96777,0,0.000742815,0.000742815,0.000742815
58,1225.2,1.81756,1.02093,0.9112,14867.3,0.72546,0.56196,0.6201,0.34604,5619.55,1.82701,1.14839,0.97135,0,0.000726312,0.000726312,0.000726312
59,1246.5,1.80773,1.02049,0.91731,14754.3,0.73376,0.56164,0.62289,0.3473,5879.15,1.81616,1.1541,0.96853,0,0.000709809,0.000709809,0.000709809
60,1268.57,1.82266,1.02114,0.91284,14785.6,0.73596,0.56195,0.62621,0.34977,6628.62,1.81015,1.13423,0.96544,0,0.000693305,0.000693305,0.000693305
61,1289.93,1.80438,1.02236,0.91213,14340,0.72401,0.56761,0.6239,0.35007,6256.28,1.80939,1.13274,0.96967,0,0.000676802,0.000676802,0.000676802
62,1311.14,1.80083,1.01785,0.91687,14148.1,0.72401,0.56436,0.62133,0.34587,6793.91,1.82124,1.14957,0.96976,0,0.000660299,0.000660299,0.000660299
63,1332.28,1.81574,1.02139,0.91626,14097.1,0.72794,0.56877,0.62701,0.3479,6330.04,1.82103,1.15407,0.96967,0,0.000643795,0.000643795,0.000643795
64,1353.97,1.79686,1.00415,0.91362,14190.5,0.72138,0.57423,0.62709,0.35158,7045.29,1.80495,1.14186,0.96676,0,0.000627292,0.000627292,0.000627292
65,1375.2,1.7955,1.01005,0.91283,14482.2,0.71872,0.57415,0.62456,0.34718,7175.57,1.81598,1.1605,0.96983,0,0.000610789,0.000610789,0.000610789
66,1396.53,1.78964,0.99943,0.91584,14700.7,0.72839,0.57001,0.62798,0.34834,7319.06,1.82198,1.15089,0.97154,0,0.000594286,0.000594286,0.000594286
67,1417.79,1.7886,1.00021,0.91271,15137.9,0.72624,0.57177,0.62774,0.35139,6793.79,1.80443,1.14346,0.96509,0,0.000577782,0.000577782,0.000577782
68,1439.52,1.79336,1.00884,0.91074,14719.3,0.7255,0.57019,0.6258,0.34841,7877.19,1.81722,1.14047,0.9717,0,0.000561279,0.000561279,0.000561279
69,1460.94,1.80529,1.0095,0.91164,14704.5,0.72144,0.57001,0.62371,0.34817,7761.33,1.81809,1.14688,0.96753,0,0.000544776,0.000544776,0.000544776
70,1482.03,1.78742,1.00535,0.91212,14713.7,0.73624,0.56438,0.62806,0.35199,7941.53,1.80993,1.1183,0.9667,0,0.000528272,0.000528272,0.000528272
