epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mmd_distance,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mmd_distance,val/box_loss,val/cls_loss,val/dfl_loss,val/mmd_distance,lr/pg0,lr/pg1,lr/pg2
53,1170.62,1.86835,1.07587,0.91991,1292.24,0.71471,0.56464,0.61978,0.34354,647.062,1.82869,1.1867,0.97431,0,0.000808828,0.000808828,0.000808828
54,1192.33,1.8635,1.07451,0.92595,1063.3,0.72576,0.56611,0.6226,0.34681,550.221,1.82141,1.14918,0.97062,0,0.000792325,0.000792325,0.000792325
55,1213.9,1.83561,1.06631,0.92331,1001.3,0.7258,0.56697,0.62346,0.34833,590.792,1.80915,1.15122,0.96801,0,0.000775822,0.000775822,0.000775822
56,1235.93,1.8526,1.07659,0.92834,1097.06,0.72655,0.56144,0.62054,0.34679,568.726,1.81611,1.16204,0.97,0,0.000759318,0.000759318,0.000759318
57,1258,1.84564,1.05857,0.92017,1107.24,0.72712,0.56557,0.62324,0.34663,603.49,1.81701,1.15931,0.97066,0,0.000742815,0.000742815,0.000742815
58,1280.11,1.84671,1.05545,0.91858,1303.66,0.7286,0.56015,0.61908,0.34578,639.967,1.82442,1.16312,0.97002,0,0.000726312,0.000726312,0.000726312
59,1302.06,1.83527,1.06516,0.92462,1151.14,0.7232,0.56059,0.62146,0.3476,643.16,1.81357,1.16622,0.96741,0,0.000709809,0.000709809,0.000709809
60,1324.35,1.85883,1.07161,0.92127,1019.3,0.71902,0.56617,0.62011,0.34646,702.45,1.81542,1.17317,0.97018,0,0.000693305,0.000693305,0.000693305
61,1345.95,1.84524,1.07364,0.92123,13881,0.72755,0.56053,0.61925,0.34668,41092.5,1.82192,1.14408,0.97091,0,0.000676802,0.000676802,0.000676802
62,1367.67,1.8282,1.05726,0.92425,42588.5,0.73279,0.56324,0.62468,0.34813,13471,1.81957,1.13898,0.96749,0,0.000660299,0.000660299,0.000660299
63,1389.58,1.8434,1.06208,0.92214,3921.16,0.72615,0.55924,0.61794,0.3442,823.452,1.82271,1.18438,0.96829,0,0.000643795,0.000643795,0.000643795
64,1411.49,1.8303,1.05424,0.92163,730.516,0.71145,0.57032,0.61935,0.34701,435.205,1.81207,1.18938,0.96874,0,0.000627292,0.000627292,0.000627292
65,1433.15,1.83319,1.06917,0.92181,668.921,0.71665,0.56451,0.61985,0.34388,413.041,1.82429,1.17181,0.96978,0,0.000610789,0.000610789,0.000610789
66,1455.08,1.83411,1.06112,0.92565,533.915,0.72081,0.56499,0.6214,0.3462,339.104,1.81918,1.15908,0.97091,0,0.000594286,0.000594286,0.000594286
67,1477.13,1.83573,1.06487,0.92334,452.878,0.71904,0.56572,0.62017,0.3472,260.806,1.81487,1.1561,0.96818,0,0.000577782,0.000577782,0.000577782
68,1499.05,1.84516,1.07737,0.92245,452.837,0.72614,0.56325,0.62305,0.34726,278.85,1.81883,1.15472,0.9704,0,0.000561279,0.000561279,0.000561279
69,1521.01,1.85295,1.0798,0.92358,602.868,0.71895,0.56308,0.61843,0.34519,408.86,1.82053,1.18721,0.96776,0,0.000544776,0.000544776,0.000544776
